,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
1043,"Martin, James David",,United,1989,2005,3,3,Otros,Estrangulamiento,Desconocidos
1044,"Martin, Lee Roy",The Gaffney Strangler,United,1967,1968,4,4,Otros,Apuñalamiento,Mujeres
1045,"Martin, Rhonda Belle",,United,1926,1951,6,6,Otros,Veneno,Hombres
1046,"Martinez, Jose Manuel",,United,1978,2013,12,36,Otros,Asesinato,Hombres
1047,"Masini, Frank",,United,1991,1992,4,4,Otros,Asesinato,Hombres
1048,"Mason, David",,United,1980,1982,5,6,Otros,Asesinato,Desconocidos
1049,"Mason, Samuel",,United,1797,1803,20,20+,Otros,Asesinato,Desconocidos
1050,"Matthew, Jesse",,United,2009,2014,2,7,Violación,Asesinato,Hombres
1051,"Matthews, Eric",,United,1994,1998,4,4,Violación,Asesinato,Desconocidos
1052,"Maupin, Thomas",,United,1988,2001,3,3,Otros,Asesinato,Hombres
1053,"Maury, Robert",The Tipster Killer,United,1985,1987,3,3+,Otros,Asesinato,Hombres
1054,"Maust, David Edward",,United,1974,2003,5,5,Otros,Asesinato,Menores
1055,"Mayrand, Edward",,United,1983,1994,3,3,Otros,Estrangulamiento,Hombres
1056,"Mays, Reta",,United,2017,2018,7,8+,Otros,Asesinato,Desconocidos
1057,"McCoy, Stephen",,United,1980,1981,3,3,Otros,Asesinato,Personas_Vulnerables
1058,"McCray, Jeremiah",,United,1956,1958,5,5,Otros,Asesinato,Personas_Vulnerables
1059,"McDuff, Kenneth",The Broomstick Killer,United,1966,1992,9,14+,Otros,Asesinato,Desconocidos
1060,"McFadden, Jerry Walter",The Animal,United,1973,1986,4,4,Otros,Asesinato,Desconocidos
1061,"McGhee, Timothy",The Monster of Atwater,United,1997,2001,3,12,Otros,Asesinato,Desconocidos
1062,"McGregor, Edward George",,United,1990,2006,4,4,Violación,Apuñalamiento,Hombres
1064,"McKnight, Gregory",,United,1992,2000,3,3,Otros,Asesinato,Personas_Vulnerables
1066,"Meirhofer, David",,United,1967,1974,4,4,Otros,Asesinato,Desconocidos
1067,"Melanson, Roy",,United,1974,1988,3,5+,Violación,Asesinato,Hombres
1068,"Metheny, Joe",,United,1976,1996,5,10,Violación,Asesinato,Hombres
1069,"Mikhel, Iouri",,United,2001,2002,5,5,Secuestro,Asesinato,Personas_Vulnerables
1070,"Miller, Donald Gene",,United,1977,1978,4,4,Violación,Asesinato,Hombres
1071,"Miller, Joseph Daniel",,United,1986,1990,5,5+,Violación,Estrangulamiento,Hombres
1072,"Miller, Joseph Robert",,United,1976,1993,6,6+,Otros,Asesinato,Prostitutas
1074,"Moore, Henry Lee",,United,1911,1912,2,25,Otros,Asesinato,Mujeres
1075,"Moore, Manuel",The Death Angels,United,1973,1974,15,73+,Otros,Asesinato,Desconocidos
1076,"Morin, Stephen",,United,1969,1981,4,48,Otros,Asesinato,Desconocidos
1077,"Morris, Cory",The Crackhead Killer,United,2002,2003,5,5+,Otros,Asesinato,Prostitutas
1078,"Mors, Frederick",,United,1914,1915,8,8,Otros,Veneno,Personas_Vulnerables
1079,"Morse, Hugh",,United,1959,1961,4,4+,Otros,Asesinato,Hombres
1080,"Morton, David Bruce",,United,1983,1990,3,3+,Otros,Asesinato,Hombres
1081,"Moseley, Winston",,United,1963,1964,3,3,Otros,Asesinato,Hombres
1082,"Mosley, Eddie",,United,1973,1987,8,16+,Violación,Asesinato,Mujeres
1084,"Mullin, Herbert",,United,1972,1973,11,13,Otros,Asesinato,Desconocidos
1085,"Mullins, Michael",,United,1999,2012,3,3,Otros,Asesinato,Hombres
1086,"Murphy, Donald",,United,1979,1980,2,6+,Otros,Asesinato,Hombres
1087,"Nance, Wayne",The Missoula Mauler,United,1974,1986,0,5+,Otros,Asesinato,Desconocidos
1088,"Nardello, Antonio",,United,1884,1885,3,3,Otros,Asesinato,Desconocidos
1089,"Naso, Joseph",,United,1977,1994,6,10,Otros,Asesinato,Hombres
1092,"Nelson, Earle",The Gorilla Man,United,1926,1927,22,22+,Otros,Asesinato,Hombres
1093,"Nemechek, Francis",,United,1974,1976,5,5,Violación,Asesinato,Hombres
1094,"Newman, Allan Patterson",,United,1991,1992,4,4,Otros,Asesinato,Personas_Vulnerables
1095,"Ng, Charles",The Operation Miranda Killers,United,1983,1985,11,25,Otros,Asesinato,Desconocidos
1096,"Nissensohn, Joseph",,United,1981,1989,4,4+,Violación,Asesinato,Menores
1097,"Nixon, Robert",Brick Moron,United,1937,1938,3,5,Otros,Asesinato,Desconocidos
1098,"Noe, Marie",,United,1949,1968,8,8,Otros,Asesinato,Menores
1101,"Northcott, Gordon Stewart",,United,1926,1928,3,20,Otros,Asesinato,Menores
1102,"Ocampo, Itzcoatl",,United,2011,2012,6,6,Otros,Asesinato,Personas_Vulnerables
1103,"O'Dell, Diane",,United,1982,1985,3,4,Otros,Asesinato,Hombres
1105,"Pace, Lyndon Fitzgerald",,United,1988,1989,4,5,Otros,Asesinato,Hombres
1106,"Page, Ivan",,United,1998,2001,3,3,Otros,Asesinato,Prostitutas
1107,"Panzram, Carl",,United,1920,1929,5,22,Violación,Asesinato,Desconocidos
1109,"Parker, Gerald",The Bedroom Basher,United,1978,1978,6,6,Violación,Asesinato,Hombres
1110,"Paster, James",,United,1980,1981,3,5,Otros,Asesinato,Personas_Vulnerables
1111,"Patton, Carl",,United,1973,1977,5,5,Otros,Asesinato,Desconocidos
1112,"Peete, Louise",,United,1913,1944,3,3+,Otros,Asesinato,Hombres
1113,"Pennell, Steven Brian",The Route 40 Killer,United,1987,1988,2,5,Secuestro,Asesinato,Hombres
1114,"Perkins, Reginald",,United,1980,2000,3,6,Otros,Asesinato,Mujeres
1117,"Pierce, William",,United,1970,1971,9,9+,Otros,Asesinato,Personas_Vulnerables
1118,"Piper, Thomas W.",The Boston Belfry Murderer,United,1873,1875,2,2+,Pirómano,Asesinato,Hombres
1121,"Pough, James Edward",,United,1971,1990,12,12,Otros,Asesinato,Desconocidos
1124,"Price, Craig",,United,1987,1989,4,4,Otros,Asesinato,Desconocidos
1126,"Priest, Martin",,United,1980,1985,2,5,Otros,Asesinato,Hombres
1127,"Prieto, Alfredo",,United,1988,1990,9,9,Violación,Asesinato,Hombres
1130,"Pruitt, Pleasant",,United,1888,1902,3,3,Otros,Asesinato,Desconocidos
1131,"Puente, Dorothea",,United,1982,1988,9,15,Otros,Asesinato,Hombres
1133,"Rader, Dennis",The BTK Killer,United,1974,1991,10,10,Otros,Asesinato,Desconocidos
1134,"Ralston, Larry",,United,1975,1977,4,5+,Secuestro,Asesinato,Mujeres
1135,"Ramirez, Richard",The Night Stalker,United,1984,1985,15,15,Otros,Asesinato,Desconocidos
1138,"Rardon, Gary",,United,1962,1974,4,4,Otros,Asesinato,Hombres
1139,"Rasmussen, Terry Peder",The Chameleon Killer,United,1978,2002,6,6+,Otros,Asesinato,Desconocidos
1140,"Ray, Clifton",,United,1987,1994,3,6+,Otros,Asesinato,Hombres
1141,"Red Dog, James Allen",,United,1973,1991,5,5,Otros,Asesinato,Personas_Vulnerables
1144,"Rees, Melvin",The Sex Beast,United,1957,1959,5,9+,Otros,Asesinato,Desconocidos
1145,"Reeves, Jack",,United,1967,1994,4,4,Otros,Asesinato,Hombres
1148,"Rembert, Robert",,United,1997,2015,5,5+,Otros,Asesinato,Personas_Vulnerables
1149,"Reséndiz, Ángel Maturino",The Railroad/Railway/Railcar Killer,United,1986,1999,10,16,Tortura,Asesinato,Hombres
1152,"Rhoades, Robert Ben",The Truck Stop Killer,United,1975,1990,3,50+,Otros,Asesinato,Desconocidos
1153,"Rice, Stanley",,United,1963,1968,3,5+,Otros,Disparo,Menores
1155,"Richards, Stephen D.",The Nebraska Fiend,United,1876,1878,9,9+,Otros,Asesinato,Menores
1157,"Ridgway, Gary",The Green River Killer,United,1982,1998,49,90+,Otros,Asesinato,Desconocidos
1158,"Rifkin, Joel",,United,1989,1993,9,17+,Otros,Asesinato,Prostitutas
1159,"Rissell, Montie",,United,1976,1977,5,5,Violación,Asesinato,Hombres
1161,"Rivera, Reinaldo",,United,1999,2000,4,4,Violación,Asesinato,Hombres
1162,"Robbins, Malcolm",,United,1979,1980,4,4+,Otros,Asesinato,Menores
1163,"Robinson, Alonzo",,United,1926,1934,2,6,Canibalismo,Asesinato,Hombres
1164,"Robinson, Harvey Miguel",,United,1992,1993,3,3,Violación,Asesinato,Menores
1165,"Robinson, John Edward",The Internet's first serial killer,United,1984,1999,8,8+,Otros,Asesinato,Desconocidos
1166,"Robinson, John Wesley",,United,1896,1913,3,3,Otros,Asesinato,Desconocidos
1167,"Robinson, Sarah Jane",The Boston Borgia,United,1881,1886,8,11,Otros,Veneno,Personas_Vulnerables
1168,"Roche, John Francis",,United,1953,1954,4,6,Otros,Asesinato,Hombres
1170,"Rodriguez, Robert Neal",,United,1984,1992,3,3,Otros,Asesinato,Desconocidos
1171,"Rogers, Dayton Leroy",The Molalla Forest Killer,United,1983,1987,7,8+,Violación,Asesinato,Prostitutas
1172,"Rogers, Glen Edward",,United,1993,1995,4,5,Otros,Asesinato,Desconocidos
1173,"Rogers, Richard Westall",The Last Call Killer,United,1992,1993,2,7+,Otros,Asesinato,Hombres
1174,"Rolling, Danny",,United,1989,1990,8,8,Otros,Asesinato,No Clasificado
1175,"Ross, Michael Bruce",The Roadside Strangler,United,1981,1984,8,8+,Otros,Estrangulamiento,Desconocidos
1176,"Roye, Norman",The Dreaded Strangler,United,1953,1954,3,3,Otros,Estrangulamiento,Hombres
1177,"Rozier, Robert",,United,1981,1986,4,7,Otros,Asesinato,Desconocidos
1178,"Rulloff, Edward H.",The Genius Killer,United,1844,1870,3,5,Otros,Asesinato,Hombres
1180,"Runge, Paul",,United,1995,1997,7,8+,Otros,Asesinato,Hombres
1182,"Rutterschmidt, Olga",,United,1999,2005,2,2,Otros,Asesinato,Desconocidos
1184,"Saldivar, Efren",,United,1988,1998,6,50+,Otros,Veneno,Personas_Vulnerables
1185,"Samartaney, Malik",,United,1991,2019,3,6,Otros,Asesinato,Desconocidos
1186,"Sanchez, Altemio",The Bike Path Rapist,United,1990,2006,3,3+,Violación,Asesinato,Desconocidos
1188,"Sapp, William",,United,1992,1993,3,3+,Otros,Veneno,Menores
1189,"Schaefer, Gerard John",,United,1969,1973,2,34,Otros,Asesinato,Hombres
1191,"Schmidt, Helmuth",The American Bluebeard,United,1913,1917,1,4+,Otros,Asesinato,Hombres
1192,"Seda, Heriberto",,United,1990,1993,3,3,Otros,Asesinato,Personas_Vulnerables
1193,"Segundo, Juan",,United,1986,1995,4,4+,Violación,Asesinato,Mujeres
1194,"Sells, Tommy Lynn",,United,1980,1999,6,22+,Otros,Asesinato,Personas_Vulnerables
1195,"Seoung, Doeur",,United,1985,1998,4,4,Violación,Estrangulamiento,Menores
1196,"Severance, Charles",,United,2003,2014,3,3,Otros,Asesinato,Desconocidos
1198,"Shaw, Sebastian",,United,1991,1992,3,13,Otros,Asesinato,Personas_Vulnerables
1199,"Shawcross, Arthur",The Genesee River Killer,United,1972,1989,12,14,Otros,Asesinato,Desconocidos
1200,"Sherman, Lydia",The Derby Poisoner,United,1863,1877,12,12,Otros,Veneno,Menores
1201,"Shermantine, Wesley",The Speed Freak Killers,United,1984,1999,4,19,Otros,Asesinato,Desconocidos
1202,"Shore, Anthony Allen",The Tourniquet Killer,United,1986,1995,4,4+,Otros,Asesinato,Mujeres
1203,"Shulman, Robert",,United,1991,1996,5,5,Otros,Asesinato,Prostitutas
1204,"Siebert, Daniel Lee",,United,1979,1986,10,13,Otros,Asesinato,Personas_Vulnerables
1205,"Sifuentes, Jose",,United,1998,2003,3,3,Otros,Estrangulamiento,Hombres
1206,"Silva, Mauricio",The Monster,United,1978,1984,4,4,Otros,Asesinato,Menores
1207,"Silveria Jr., Robert Joseph",The Boxcar Killer,United,1981,1996,9,14+,Otros,Asesinato,Desconocidos
1208,"Simmons, Beoria",,United,1981,1983,3,3,Otros,Asesinato,Mujeres
1209,"Simon, J.C.X.",The Death Angels,United,1973,1974,15,73+,Otros,Asesinato,Desconocidos
1210,"Sims, Ray Dell",,United,1974,1977,5,5+,Violación,Estrangulamiento,Mujeres
1211,"Sinclair, Charles T.",The Coin Shop Killer,United,1980,1990,13,13+,Otros,Asesinato,Desconocidos
1212,"Singh, Michael",,United,1975,1982,3,3,Otros,Asesinato,Desconocidos
1213,"Smallwood, Robert",,United,1999,2006,3,3,Violación,Asesinato,Hombres
1214,"Smith, Gayno",,United,1961,1962,6,6,Otros,Asesinato,Personas_Vulnerables
1215,"Smith, Lemuel",,United,1958,1981,5,6,Otros,Asesinato,Desconocidos
1216,"Smith, Mark Alan",,United,1969,1970,4,12+,Otros,Asesinato,Hombres
1217,"Smith, William Scott",,United,1981,1984,4,4+,Violación,Estrangulamiento,Hombres
1219,"Solomon Jr., Morris",The Sacramento Slayer,United,1986,1987,6,7,Otros,Asesinato,Hombres
1220,"Soper, Edward Bates",,United,1880,1897,5,5,Otros,Asesinato,Menores
1221,"Southard, Lyda",Flypaper Lyda,United,1915,1920,6,6,Otros,Asesinato,Desconocidos
1222,"Sowell, Anthony",The Cleveland Strangler,United,2007,2009,11,11,Otros,Estrangulamiento,Desconocidos
1223,"Spangler, Robert",,United,1978,1993,4,4,Otros,Asesinato,Personas_Vulnerables
1224,"Spencer, Timothy Wilson",The Southside Strangler,United,1984,1988,4,5,Violación,Estrangulamiento,Hombres
1225,"Spillman, Jack Owen",The Werewolf Butcher,United,1994,1995,3,3,Otros,Asesinato,Desconocidos
1227,"Spreitzer, Edward",The Ripper Crew,United,1981,1982,18,18,Culto satánico,Asesinato,Desconocidos
1228,"Stafford, Roger Dale",,United,1974,1978,9,34,Otros,Asesinato,Desconocidos
1229,"Stanley, Gerald Frank",,United,1975,1980,2,2+,Otros,Asesinato,Desconocidos
1230,"Stano, Gerald",,United,1969,1980,22,41+,Otros,Asesinato,Desconocidos
1232,"Steeves, Richard",,United,1965,1985,6,6,Otros,Asesinato,Personas_Vulnerables
1233,"Stephani, Paul Michael",The Weepy-Voiced Killer,United,1980,1982,3,3,Otros,Asesinato,Desconocidos
1235,"Stickles, Martin",The Kelso Killer,United,1899,1900,3,3,Otros,Asesinato,Personas_Vulnerables
1236,"Stokes, Winford",,United,1969,1978,3,3,Otros,Asesinato,Personas_Vulnerables
1237,"Suff, William",The Riverside Prostitute Killer,United,1974,1992,12,22,Otros,Asesinato,Prostitutas
1239,"Sumpter, Michael",,United,1969,1973,3,3,Violación,Asesinato,Hombres
1240,"Surratt, Edward Arthur",The Shotgun Killer,United,1977,1978,7,18+,Secuestro,Estrangulamiento,Desconocidos
1241,"Sutton, Nicholas Todd",,United,1979,1985,4,4,Otros,Apuñalamiento,Mujeres
1242,"Swango, Michael",,United,1981,1997,4,60,Otros,Veneno,Personas_Vulnerables
1244,"Taborsky, Joseph ""Mad Dog""",,United,1950,1957,7,7,Otros,Asesinato,Desconocidos
1245,"Tavares, Daniel",,United,1988,2007,4,4,Otros,Asesinato,Mujeres
1247,"Terry, Charles E.",,United,1951,1963,1,4+,Otros,Estrangulamiento,Desconocidos
1248,"Terry, Michael",,United,1985,1986,6,6,Otros,Asesinato,Hombres
1249,"Tersargyan, Alberd",,United,2008,2010,4,4,Otros,Asesinato,Hombres
1250,"Tholmer, Brandon",The West Side Rapist,United,1981,1983,12,34,Violación,Asesinato,Hombres
1251,"Thomas Jr., John Floyd",The Southland Strangler,United,1972,1986,7,15+,Violación,Estrangulamiento,Desconocidos
1252,"Thompson, William Paul",,United,1983,1984,3,6,Otros,Asesinato,Personas_Vulnerables
1253,"Tinning, Marybeth",,United,1972,1985,2,9,Otros,Asesinato,Menores
1254,"Toole, Ottis",,United,1976,1983,6,6+,Otros,Asesinato,Desconocidos
1255,"Toppan, Jane",Jolly Jane,United,1895,1901,12,31+,Otros,Veneno,Personas_Vulnerables
1257,"Travis, Maury",,United,2000,2002,2,17+,Otros,Asesinato,Hombres
1258,"Ture Jr., Joseph",,United,1978,1980,6,7+,Otros,Asesinato,Hombres
1259,"Turner, Chester",,United,1987,1998,15,16,Otros,Asesinato,Hombres
1260,"Urdiales, Andrew",,United,1986,1996,8,8,Otros,Asesinato,Hombres
1261,"Vann, Darren Deon",,United,2013,2014,7,7+,Otros,Asesinato,Hombres
1262,"Vaultz, Horace Van",,United,1981,1986,3,3+,Violación,Asesinato,Hombres
1263,"Van Dyke, David",,United,1979,1980,6,6,Otros,Asesinato,Personas_Vulnerables
1264,"Vermilya, Louise",,United,1893,1911,9,9,Otros,Asesinato,Desconocidos
1265,"Victor, Clarence",,United,1964,1987,3,3,Otros,Asesinato,Personas_Vulnerables
1266,"Villarreal, David",,United,1979,1981,5,7,Tortura,Asesinato,Homosexuales
1267,"Wade, Joshua",,United,1994,2007,5,5+,Otros,Asesinato,Personas_Vulnerables
1268,"Walker, Anthony Guy",,United,1975,1986,6,6+,Otros,Asesinato,Desconocidos
1269,"Wallace, Henry Louis",The Taco Bell Strangler,United,1990,1994,11,11,Otros,Estrangulamiento,Hombres
1270,"Walton, Edward",,United,1896,1908,5,5,Otros,Asesinato,Personas_Vulnerables
1271,"Walls, Frank Athen",,United,1985,1987,5,5,Otros,Asesinato,Personas_Vulnerables
1273,"Wardrip, Faryion",,United,1984,1986,5,5,Otros,Asesinato,Desconocidos
1274,"Warren, Edward Delon",,United,1976,1979,3,3,Otros,Asesinato,Desconocidos
1276,"Watson, Alexander Wayne",,United,1986,1994,4,4,Violación,Apuñalamiento,Hombres
1277,"Watts, Carl Eugene",The Sunday Morning Slasher,United,1974,1982,22,100,Otros,Asesinato,Desconocidos
1278,"Weldon, Stewart",,United,2017,2018,3,3,Tortura,Asesinato,Hombres
1279,"Werner, Karl F.",,United,1969,1971,3,3,Otros,Asesinato,Mujeres
1281,"Whisenhant, Thomas",,United,1963,1976,4,4+,Secuestro,Asesinato,Desconocidos
1283,"White, Nathaniel",,United,1991,1992,6,6,Otros,Asesinato,Hombres
1285,"Whitten, Hattie",,United,1900,1902,3,3,Otros,Veneno,Menores
1286,"Wickline, William",The Butcher,United,1979,1982,3,3+,Otros,Asesinato,Personas_Vulnerables
1289,"Williams, Dorothy",,United,1987,1989,3,3,Otros,Asesinato,Personas_Vulnerables
1290,"Williams, Kenneth Dewayne",,United,1998,1999,4,4,Otros,Asesinato,Personas_Vulnerables
1291,"Williams, Laron",,United,1977,1981,3,5+,Otros,Estrangulamiento,Prostitutas
1292,"Williams, Leslie Allen",,United,1991,1992,4,4,Violación,Asesinato,Hombres
1293,"Williams, Scott",,United,1997,2006,3,3,Otros,Asesinato,Hombres
1294,"Williams, Wayne",,United,1979,1981,2,23,Otros,Asesinato,Desconocidos
1295,"Williamson, Thomas Andrew",,United,1868,1890,4,4,Otros,Asesinato,Personas_Vulnerables
1296,"Willie, Robert Lee",,United,1978,1980,3,5,Otros,Asesinato,Personas_Vulnerables
1297,"Wimberly, Anthony",,United,1984,1985,3,3,Otros,Asesinato,Hombres
1298,"Winters, Shirley",,United,1980,2006,2,7,Pirómano,Asesinato,Menores
1299,"Wise, Martha",,United,1924,1925,3,3,Otros,Veneno,Personas_Vulnerables
1302,"Wood, Frederick Charles",,United,1926,1960,5,5,Otros,Asesinato,Personas_Vulnerables
1304,"Woodfield, Randall",The I-5 Killer,United,1979,1981,18,44,Otros,Asesinato,Desconocidos
1305,"Wooten, Charles",,United,1969,1993,3,3,Otros,Asesinato,Hombres
1306,"Wright, Douglas Franklin",,United,1969,1991,7,7+,Otros,Asesinato,Desconocidos
1307,"Wuornos, Aileen",Damsel of Death,United,1989,1990,7,7,Otros,Disparo,Hombres
1308,"Yates, Robert Lee",,United,1975,1998,13,18+,Otros,Asesinato,Hombres
1309,"Zarinsky, Robert",,United,1958,1974,2,10,Otros,Asesinato,Mujeres
1310,Albuquerque serial killer,,United,2021,2022,2,4,Otros,Asesinato,Hombres
1311,Alphabet murders,Double Initial Murders,United,1971,1973,3,3,Otros,Asesinato,Mujeres
1313,Atlanta child murders,,United,1979,1981,28,30,Otros,Asesinato,Menores
1317,Bag murders,,United,1975,1977,6,6,Violación,Asesinato,Hombres
1319,Boston Strangler,,United,1962,1964,13,13,Otros,Asesinato,Hombres
1320,Bouncing Ball Killer,,United,1959,1960,6,7+,Otros,Asesinato,Hombres
1321,Bra murders,,United,1967,1971,5,5,Otros,Asesinato,Hombres
1322,Castration serial murders,,United,1980,1986,2,5+,Otros,Disparo,Hombres
1323,Charlie Chop-off,,United,1972,1974,4,4,Otros,Asesinato,Hombres
1324,Chicago Strangler,,United,2001,2021,55,75+,Violación,Estrangulamiento,Hombres
1325,Cincinnati Strangler,,United,1965,1966,7,7,Violación,Estrangulamiento,Hombres
1327,Colonial Parkway Killer,,United,1986,1989,8,8,Otros,Asesinato,Personas_Vulnerables
1328,Columbus murders,,United,1965,1966,3,3,Otros,Asesinato,Desconocidos
1329,Connecticut River Valley Killer,,United,1978,1987,7,7+,Otros,Apuñalamiento,Hombres
1330,Cumminsville murders,,United,1904,1910,5,5,Otros,Asesinato,Hombres
1331,Dayton Strangler,,United,1900,1909,6,6,Otros,Asesinato,Hombres
1332,Denver Prostitute Killer,,United,1975,1995,17,27,Violación,Estrangulamiento,Mujeres
1333,Denver Strangler,,United,1894,1903,3,5,Otros,Estrangulamiento,Prostitutas
1334,Doodler,,United,1974,1975,6,16,Otros,Apuñalamiento,Hombres
1338,Flat-Tire murders,,United,1975,1976,12,35,Otros,Estrangulamiento,Mujeres
1339,Flint Serial Slasher,,United,2009,2010,5,5,Otros,Asesinato,Hombres
1340,Frankford Slasher,,United,1985,1990,8,9,Otros,Asesinato,Desconocidos
1341,Freeway Phantom,,United,1971,1972,6,6,Violación,Estrangulamiento,Mujeres
1343,Golden Years Murders,,United,1990,1996,13,13+,Otros,Asesinato,Hombres
1344,Great Basin Killer,Great Basin Murders,United,1983,1997,4,4+,Violación,Asesinato,Mujeres
1346,Hog Trail Murders,,United,1993,1996,6,12,Otros,Asesinato,Hombres
1348,Honolulu Strangler,,United,1985,1986,5,5,Violación,Estrangulamiento,Hombres
1350,I-70 killer,,United,1992,2001,6,9,Otros,Asesinato,Desconocidos
1351,I-70 Strangler,,United,1980,1991,12,12,Otros,Asesinato,Hombres
1352,Jeff Davis 8,,United,2005,2009,8,8,Otros,Asesinato,Hombres
1354,Little Rock serial stabbings,,United,2020,2021,3,3,Otros,Asesinato,Desconocidos
1355,Long Island serial killer,,United,1996,2010,10,17,Otros,Asesinato,Menores
1359,Miami Strangler,,United,1964,1970,9,11,Otros,Asesinato,Hombres
1360,Michigan Murders,,United,1967,1969,1,7,Violación,Apuñalamiento,Hombres
1361,New Bedford Highway Killer,,United,1988,1989,9,11,Otros,Asesinato,Hombres
1362,Oakland County Child Killer,Babysitter,United,1976,1977,4,4+,Otros,Asesinato,Menores
1363,Oklahoma City Butcher,,United,1976,1986,3,3,Otros,Asesinato,Hombres
1366,Pittsburg serial murders,,United,1998,1999,5,5,Otros,Asesinato,Hombres
1368,Redhead murders,The Bible Belt Strangler,United,1978,1992,8,11,Otros,Estrangulamiento,Desconocidos
1369,Santa Rosa hitchhiker murders,,United,1972,1973,7,7+,Otros,Asesinato,Desconocidos
1370,Servant Girl Annihilator,Austin Axe Murderer,United,1884,1885,8,8,Otros,Asesinato,Desconocidos
1371,Skid Row Stabber,,United,1978,1979,11,11,Otros,Asesinato,Hombres
1373,Storyville Slayer,,United,1991,1996,24,24+,Secuestro,Estrangulamiento,Prostitutas
1374,Stockton serial shootings,,United,2021,2022,6,7+,Otros,Disparo,Hombres
1375,Suitland murders,,United,1986,1987,5,9,Violación,Apuñalamiento,Hombres
1378,West Mesa murders,,United,2003,2009,11,11+,Otros,Asesinato,Hombres
1379,Zodiac Killer,,United,1968,1974,5,37,Otros,Asesinato,Personas_Vulnerables
1487,Rosario Alfonso,,Mexico,2018,2020,3,4,Otros,Asesinato,Hombres
1488,Esteban Lorenzo Duarte,,Argentina,2004,2020,2,5,Otros,Asesinato,Desconocidos
1489,Kenyel Brown,Metro Detroit killer,United,2001,2020,7,7,Otros,Asesinato,Personas_Vulnerables
1490,Travis Lewis,,United,1996,2020,3,3,Otros,Estrangulamiento,Personas_Vulnerables
1491,Andrey Yezhov,The Kashirsky Maniac,Russia,2010,2020,7,7,Otros,Asesinato,Mujeres
1493,Omar Santos Loera,,Mexico,2010,2020,3,3,Otros,Asesinato,Personas_Vulnerables
1494,Ismael Antonio Sánchez and José Rojas,,Argentina,2019,2020,3,3,Otros,Asesinato,Hombres
1495,Hugo Bustamante Pérez,,Chile,2005,2020,3,3,Otros,Asesinato,Desconocidos
1497,Yuri Sparihin,The Novorossiysk Maniac,Soviet,1980,2020,4,4,Violación,Asesinato,Menores
1499,Harold David Haulman III,,Germany,1999,2020,3,4,Otros,Asesinato,Hombres
1500,Omar Fernandez Herrada,,Bolivia,2017,2020,4,4,Otros,Asesinato,Personas_Vulnerables
1502,Rustam Kiknadze,,Kazakhstan,2004,2020,5,5,Violación,Asesinato,Hombres
1505,Kwon Jae-chan,,South,2003,2021,3,3,Otros,Asesinato,Personas_Vulnerables
1506,Hugo Ernesto Osorio Chavez,,El,2019,2021,14,40,Violación,Asesinato,Mujeres
1507,Andrés Mendoza,,Mexico,2001,2021,19,19+,Canibalismo,Asesinato,Menores
1508,Lázaro Barbosa de Sousa,,Brazil,2007,2021,6,6,Otros,Asesinato,Hombres
1509,Masten Milimu Wanjala,,Kenya,2015,2021,10,10,Otros,Asesinato,Menores
1511,Daniel Printz,,United,2017,2021,1,4,Otros,Asesinato,Hombres
1512,Fabricio Eloy Ludeña,Undertaker of Dayuma,Ecuador,2017,2021,3,4,Otros,Asesinato,Hombres
1514,Richard Choque,,Bolivia,2013,2021,3,4+,Violación,Asesinato,Hombres
1515,Shavkat Shayakhmedov,,Russia,2000,2021,4,4,Violación,Asesinato,Menores
1516,William Devonshire,,United,2003,2022,3,3,Otros,Asesinato,Hombres
1518,Roberto José Carmona,The Human Hyena,Argentina,1986,2022,4,4,Violación,Asesinato,Hombres
1519,Mario Alberto Berrios Muñoz,,Mexico,2021,2023,2,10+,Violación,Asesinato,Hombres
