,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
30,Karl Denke,,Germany,1900,1924,30,42+,Canibalismo,Asesinato,hombres
31,Francisco das Chagas Rodrigues de Brito,,Brazil,1989,2003,30,42,Otros,Asesinato,menores
32,Monster of the Mangones,,Colombia,1963,1970s,30,38,Violación,Asesinato,desconocidos
33,Milton Sipalo,The Lusaka Strangler,Zambia,1980,Unknown,30,31,Violación,Estrangulamiento,mujeres
34,Luis Gregorio Ramírez Maestre,,Colombia,2010,2013,30,30,Otros,Asesinato,desconocidos
35,David Thabo Simelane,,Swaziland,2000,2001,28,45,Otros,Estrangulamiento,hombres
36,Zhang Jun,,China,1993,2000,28,28,Otros,Asesinato,personas_vulnerables
37,Mariam Soulakiotis,Mother Rasputin,Greece,1939,1951,27,177+,Otros,Asesinato,menores
38,Cedric Maake,Wemmer Pan Killer,South,1996,1997,27,35+,Otros,Disparo,hombres
39,Volga Maniac,,Russia,2011,2012,26,32,Otros,Asesinato,hombres
40,Bruce George Peter Lee,,United,1973,1979,26,26,Pirómano,Asesinato,hombres
41,The Stoneman,,India,1985,1989,25,25+,Otros,Asesinato,personas_vulnerables
42,Juan Corona,,United,1971,Unknown,25,25+,Otros,Asesinato,hombres
43,Fritz Haarmann,,Germany,1918,1924,24,27+,Otros,Asesinato,hombres
44,Béla Kiss,,Austria-Hungary,1912,1916,24,24+,Otros,Asesinato,desconocidos
45,Majid Salek Mohammadi,,Iran,1981,1985,24,24,Otros,Asesinato,menores
46,Yvan Keller,Pillow Killer,France,1989,2006,23,150,Otros,Asesinato,hombres
47,Ronald Dominique,,United,1997,2006,23,23+,Otros,Estrangulamiento,personas_vulnerables
48,Juan Fernando Hermosa,Niño del Terror,Ecuador,1991,1992,23,23,Otros,Asesinato,homosexuales
49,Earle Nelson,Gorilla Killer,United,1926,1927,22,25,Otros,Estrangulamiento,hombres
50,Mikhail Novosyolov,Necrophile Rebel,Soviet,1977,1995,22,22,Otros,Asesinato,hombres
51,Manuel Octavio Bermúdez,El Monstruo de los Cañaduzales,Colombia,1999,2003,21,50+,Otros,Asesinato,menores
52,Patrick Kearney,,United,1965,1977,21,43+,Otros,Asesinato,hombres
53,William Bonin,,United,1979,1980,21,36+,Otros,Asesinato,personas_vulnerables
54,Vasile Tcaciuc,,Romania,1917,1935,21,26+,Otros,Disparo,hombres
55,Yoo Young-chul,,South,2003,2004,21,26,Otros,Asesinato,personas_vulnerables
56,Francisco Guerrero Pérez,El Chaquero,Mexico,1880,1908,21,21,Otros,Asesinato,prostitutas
57,Ted Bundy,,United,1974,1978,20,100+,Otros,Asesinato,hombres
58,Surinder Koli,,India,2005,2006,19,30+,Violación,Asesinato,menores
59,Larry Eyler,The Interstate Killer,United,1982,1984,19,23+,Otros,Asesinato,hombres
60,Cape Town Prostitute Killer,,South,1992,1996,19,20,Otros,Apuñalamiento,prostitutas
61,"""El Psicópata""",The Psychopath,Costa,1986,1996,19,19+,Otros,Asesinato,personas_vulnerables
62,Sergei Ryakhovsky,,Soviet,1988,1993,19,19+,Otros,Asesinato,personas_vulnerables
63,Yevgeny Chuplinsky,Novosibirsk Maniac,Russia,1998,2006,19,19+,Otros,Asesinato,hombres
64,M. Jaishankar,,India,2008,2011,19,19+,Otros,Asesinato,hombres
65,Ansis Kaupēns,,Latvia,1920,1926,19,19,Otros,Asesinato,personas_vulnerables
66,Vadim Ershov,Krasnoyarsk Beast,Russia,1992,1995,19,19,Otros,Asesinato,hombres
67,Velaphi Ndlangamandla,The Saloon Killer,South,1998,Unknown,19,19,Otros,Asesinato,hombres
68,Valery Kopytov,The Barnaul Chikatilo,Russia,2000,2004,19,19,Otros,Asesinato,hombres
69,Randall Woodfield,The I-5 Killer,United,1979,1981,18,44,Otros,Asesinato,hombres
70,Yavuz Yapıcıoğlu,,Turkey,1994,2002,18,40,Otros,Asesinato,desconocidos
71,Paul John Knowles,Casanova Killer,United,1974,Unknown,18,35+,Otros,Disparo,personas_vulnerables
72,Thierry Paulin,The monster of Montmartre,France,1984,1987,18,21,Otros,Asesinato,hombres
73,Richard Nyauza,The Quarry Murderer,South,2002,2006,18,19,Paliza,Apuñalamiento,menores
74,Umesh Reddy,,India,1996,2002,18,18+,Violación,Asesinato,desconocidos
75,Christopher Mhlengwa Zikode,Donnybrook Serial Killer,South,1994,1995,18,18+,Otros,Asesinato,personas_vulnerables
76,Asande Baninzi,,South,2001,Unknown,18,18,Otros,Asesinato,hombres
77,Kotakethana murders,,Sri,2008,2015,18,18+,Otros,Asesinato,hombres
78,Richard Cottingham,Torso Killer,United,1967,1980,17,100,Otros,Asesinato,hombres
79,Huang Yong,,China,2001,2003,17,25,Otros,Asesinato,menores
80,Pedro Pablo Nakada Ludeña,El Apóstol de la Muerte,Peru,2005,2006,17,25,Otros,Asesinato,desconocidos
81,Darbara Singh,,India,2004,Unknown,17,23,Otros,Asesinato,menores
82,Robert Hansen,,United,1971,1983,17,21,Secuestro,Asesinato,prostitutas
83,Sergei Dovzhenko,mocking,Ukraine,1992,2002,17,19,Otros,Asesinato,hombres
84,Donato Bilancia,Prostitutes Killer,Italy,1997,1998,17,17,Otros,Asesinato,hombres
85,Irina Gaidamachuk,Satan in a skirt,Russia,2002,2010,17,17,Otros,Asesinato,hombres
86,Randy Steven Kraft,score card,United,1971,1983,16,67,Otros,Asesinato,personas_vulnerables
87,Juana Barraza,,Mexico,late 1990s,2006,16,49,Otros,Estrangulamiento,hombres
88,Michel Fourniret,,France,1987,2001,16,19,Otros,Asesinato,desconocidos
89,Sipho Agmatir Thwala,,South,1996,1997,16,19,Violación,Estrangulamiento,hombres
90,Saeed Hanaei,cleanse,Iran,2000,2001,16,19,Otros,Asesinato,prostitutas
91,Maina Ramulu,,India,2003,2020,16,18,Otros,Asesinato,hombres
92,Jeffrey Dahmer,,United,1978,1991,16,17,Otros,Asesinato,hombres
93,José Antonio Rodríguez Vega,,Spain,1987,1988,16,16+,Violación,Apuñalamiento,hombres
94,Carroll Cole,,United,1948,1980,16,16,Otros,Asesinato,personas_vulnerables
95,Elias Xitavhudzi,panga,South,1950s,Unknown,16,16,Otros,Apuñalamiento,hombres
96,Charles Ray Hatcher,manipulative institutionalized sociopath,United,1969,1982,16,16,Violación,Asesinato,hombres
97,Yuri Ivanov,Ust-Kamenogorsk Maniac,Soviet,1974,1987,16,16,Violación,Asesinato,mujeres
98,Robert Lee Yates,Skid Row,United,1975,1998,16,16,Otros,Asesinato,prostitutas
99,Vladimir Mirgorod,The Strangler,Russia,2003,2004,16,16,Violación,Estrangulamiento,hombres
100,Farid Baghlani,Cyclist killer,Iran,2004,2008,16,16,Otros,Asesinato,hombres
101,Jimmy Maketta,,South,2005,Unknown,16,16,Violación,Asesinato,desconocidos
102,Jack Mogale,,South,2008,2009,16,16,Violación,Estrangulamiento,hombres
103,Donald Henry Gaskins,The Meanest Man in America,United,1953,1982,15,100+,Otros,Asesinato,hombres
104,Ravinder Kumar,,India,2008,2015,15,30+,Violación,Asesinato,menores
105,Atlanta Ripper,,United,1911,Unknown,15,21,Otros,Asesinato,hombres
106,Ángel Maturino Reséndiz,Railroad Killer,United,1986,1999,15,18,Otros,Asesinato,desconocidos
107,Chester Turner,,United,1987,1998,15,15+,Otros,Asesinato,personas_vulnerables
108,Alexander Labutkin,One-Armed Bandit,Soviet,1933,1935,15,15,Otros,Asesinato,hombres
109,Florencio Fernández,,Argentina,1950s,Unknown,15,15,Paliza,Asesinato,personas_vulnerables
110,Elifasi Msomi,,South,1953,1956,15,15,Otros,Asesinato,personas_vulnerables
111,Maurizio Minghella,,Italy,1978,2001,15,15,Otros,Asesinato,hombres
112,Bai Baoshan,,China,1983,1997,15,15,Otros,Disparo,personas_vulnerables
113,Lee Choon-jae,,South,1986,1994,15,15,Otros,Estrangulamiento,personas_vulnerables
114,Carl Eugene Watts,,United,1974,1982,14,100+,Otros,Asesinato,hombres
115,Belle Gunness,,United,1884,1908,14,40,Otros,Veneno,menores
116,Philipp Tyurin,Leningrad Maniac,Soviet,1945,1946,14,29,Otros,Asesinato,hombres
117,Zdzisław Marchwicki,,Poland,1964,1970,14,21+,Otros,Asesinato,hombres
118,Monster of Florence,,Italy,1968,1985,14,16,Otros,Disparo,hombres
119,Julio Pérez Silva,,Chile,1998,2001,14,14+,Otros,Asesinato,hombres
120,Joachim Kroll,Ruhr Cannibal,West,1955,1976,14,14,Canibalismo,Asesinato,hombres
121,Arthur Shawcross,Genesee River Killer,United,1972,1989,14,14,Violación,Estrangulamiento,menores
122,Naceur Damergi,,Tunisia,1980,1988,14,14,Violación,Asesinato,desconocidos
123,Marcelo Costa de Andrade,,Brazil,1991,Unknown,14,14,Violación,Asesinato,menores
124,Sergey Shipilov,Velsk Chikatilo,Russia,1995,1999,14,14,Otros,Asesinato,hombres
125,Dorángel Vargas,The People Eater,Venezuela,1997,1999,14,14,Canibalismo,Asesinato,hombres
126,Hua Ruizhuo,,China,1998,2001,14,14,Otros,Asesinato,prostitutas
127,Denis Pischikov,Shivering Creature,Russia,2002,2003,14,14,Otros,Asesinato,hombres
128,Abdufatto Zamanov,,Russia,2002,2004,14,14,Violación,Asesinato,mujeres
129,Jeong Nam-gyu,,South,2004,2006,14,14,Violación,Asesinato,personas_vulnerables
130,Amir Qayyum,The brick killer,Pakistan,2005,Unknown,14,14,Otros,Asesinato,hombres
131,Jake Bird,,United,1930,1947,13,46,Otros,Asesinato,personas_vulnerables
132,Cleveland Torso Murderer,The Mad Butcher of Kingsbury Run,United,1934,1938,13,40+,Otros,Asesinato,desconocidos
133,Kaspars Petrovs,,Latvia,2003,Unknown,13,38+,Otros,Estrangulamiento,hombres
134,Peter Sutcliffe,Yorkshire Ripper.,United,1975,1980,13,33,Otros,Asesinato,hombres
135,Fosaville Serial Killer,Riverman,South,1999,2003,13,26,Secuestro,Estrangulamiento,hombres
136,Richard Ramirez,Night Stalker,United,1984,1985,13,20,Otros,Asesinato,personas_vulnerables
137,Sleepy Hollow Killer,,South,1990s,2007,13,16+,Violación,Asesinato,hombres
138,Francisco Antonio Laureana,,Argentina,1974,1975,13,13+,Violación,Disparo,hombres
139,Joseph James DeAngelo,Golden State Killer,United,1979,1986,13,13+,Violación,Asesinato,desconocidos
140,Tamara Samsonova,Granny Ripper,Russia,1995,2015,13,13+,Canibalismo,Asesinato,hombres
142,Herbert Mullin,,United,1972,1973,13,13,Otros,Asesinato,hombres
143,Vladimir Storozhenko,Smolensky Strangler,Soviet,1978,1981,13,13,Tortura,Estrangulamiento,hombres
144,Johannes Mashiane,The Beast of Atteridgeville,South,1982,1989,13,13,Otros,Asesinato,desconocidos
145,Vasiliy Kulik,,Soviet,1984,1986,13,13,Otros,Asesinato,personas_vulnerables
146,Nikolai Dudin,Grim Maniac,Soviet,1987,2002,13,13,Otros,Asesinato,hombres
147,Mukosi Freddy Mulaudzi,The Limpopo Serial Killer,South,1990,2006,13,13,Otros,Asesinato,desconocidos
148,Duan Guocheng,The Red-dress killer,China,1999,2001,13,13,Otros,Asesinato,hombres
149,Nikolay Shubin,,Russia,2004,2006,13,13,Paliza,Asesinato,hombres
150,Thozamile Taki,Sugar cane serial killer,South,2007,Unknown,13,13,Otros,Asesinato,hombres
151,"""Rainbow Maniac""",,Brazil,2007,2008,13,13,Otros,Disparo,hombres
152,Adolf Seefeldt,Sandman,Germany,1908,1935,12,100,Otros,Veneno,menores
153,Charles Sobhraj,The Bikini Killer,Thailand,1975,1976,12,30,Otros,Asesinato,hombres
154,William Suff,Riverside Prostitute Killer,United,1986,1992,12,22,Violación,Apuñalamiento,prostitutas
155,Vladimir Romanov,Kaliningrad Maniac,Soviet,1991,2005,12,20,Violación,Asesinato,mujeres
156,Maury Travis,,United,2000,2002,12,17,Otros,Asesinato,prostitutas
157,Dennis Nilsen,,United,1978,1983,12,16,Otros,Asesinato,hombres
158,Kenneth Bianchi,Hillside Stranglers,United,1977,1978,12,15,Otros,Estrangulamiento,hombres
159,Enriqueta Martí,was never formally charged with murder nor was any corpse of a child found in her home,Spain,c.1900,1912,12,12+,Secuestro,Asesinato,menores
160,Abdallah al-Hubal,,Yemen,1990,1998,12,12,Otros,Asesinato,hombres
161,Nikolai Shestakov,Luberetsky Maniac,Soviet,1975,Unknown,12,12,Violación,Asesinato,mujeres
162,Joseph Christopher,The Midtown Slasher,United,1980,1981,12,12,Otros,Asesinato,hombres
163,"""Paraquat murders"" killer",,Japan,1985,Unknown,12,12,Otros,Veneno,desconocidos
164,Sergey Golovkin,,Soviet,1986,1992,11,40+,Otros,Disparo,desconocidos
165,Tiago Henrique Gomes da Rocha,,Brazil,2011,2014,11,39,Otros,Asesinato,personas_vulnerables
166,Herb Baumeister,,United,1990,1996,11,23,Otros,Estrangulamiento,hombres
167,Zhang Yongming,,China,2008,2012,11,20,Otros,Asesinato,personas_vulnerables
168,Jack Unterweger,,Austria,1974,1992,11,15,Otros,Asesinato,prostitutas
169,Vaughn Greenwood,Skid Row Slasher,United,1964,1975,11,13,Otros,Asesinato,hombres
170,Anthony Sowell,,United,2007,2009,11,11+,Otros,Estrangulamiento,hombres
171,Henri Désiré Landru,Bluebeard,France,1915,1919,11,11,Otros,Asesinato,hombres
172,Nannie Doss,Giggling Nanny,United,1927,1954,11,11,Otros,Asesinato,hombres
173,Marie Alexandrine Becker,,Belgium,1933,1936,11,11,Otros,Veneno,desconocidos
174,Seisaku Nakamura,Hamamatsu Deaf Killer,Japan,1938,1942,11,11,Otros,Asesinato,hombres
175,Robledo Puch,,Argentina,1971,Unknown,11,11,Otros,Asesinato,hombres
176,Clifford Olson,,Canada,1980,1981,11,11,Otros,Asesinato,desconocidos
177,Francisco García Escalero,The Killer Beggar,Spain,1987,1994,11,11,Otros,Asesinato,hombres
178,Henry Louis Wallace,,United,1990,1994,11,11,Otros,Asesinato,hombres
179,Benjamin Atkins,The Woodward Corridor Killer,United,1991,1992,11,11,Violación,Estrangulamiento,personas_vulnerables
180,Adnan Çolak,,Turkey,1992,1995,11,11,Violación,Asesinato,hombres
181,Andre Crawford,,United,1993,1999,11,11,Otros,Asesinato,hombres
182,Francisco de Assis Pereira,O Maníaco do Parque,Brazil,1997,1998,11,11,Violación,Asesinato,hombres
183,Barnaul Maniac,,Russia,1997,2000,11,11,Otros,Asesinato,mujeres
184,Gao Chengyong,Chinese Jack the Ripper,China,1998,2002,11,11,Otros,Asesinato,hombres
185,Yevgeny Petrov,Novouralsk Ripper,Russia,1998,2003,11,11,Violación,Asesinato,mujeres
186,Ruslan Khamarov,,Ukraine,2000,2003,11,11,Violación,Asesinato,hombres
187,West Mesa Killer,,United,2003,2005,11,11,Otros,Asesinato,hombres
188,Very Idham Henyansyah,singing serial killer,Indonesia,2006,2008,11,11,Otros,Asesinato,personas_vulnerables
189,Roshu Kha,,Bangladesh,2008,Unknown,11,11,Violación,Asesinato,hombres
190,Lonnie David Franklin Jr.,Grim Sleeper,United,1985,2007,10,25+,Otros,Estrangulamiento,hombres
191,Rudolf Pleil,The Deadmaker,West,1946,1947,10,25,Otros,Asesinato,hombres
192,Milton Johnson,The Weekend Murderer,United,1983,Unknown,10,17,Otros,Asesinato,personas_vulnerables
194,Daniel Lee Siebert,,United,1979,1986,10,13,Otros,Asesinato,menores
195,Sergey Cherny,,Russia,1999,Unknown,10,11,Otros,Estrangulamiento,hombres
196,Jeanne Weber,,France,1905,1908,10,10+,Otros,Estrangulamiento,menores
197,Nikolai Dzhumagaliev,,Soviet,1979,1991,10,10+,Otros,Asesinato,hombres
198,Bobby Joe Long,The Classified Ad Rapist,United,1984,Unknown,10,10+,Violación,Asesinato,hombres
199,Stewart Wilken,Boetie Boer,South,1990,1997,10,10+,Violación,Asesinato,personas_vulnerables
200,Viktor Fokin,Grandfather Ripper,Russia,1996,2000,10,10+,Otros,Asesinato,hombres
201,David Randitsheni,,South,2004,2008,10,10+,Violación,Asesinato,personas_vulnerables
202,Edmund Kemper,The Co-ed Butcher.,United,1964,1973,10,10,Otros,Asesinato,mujeres
203,Dennis Rader,,United,1974,2004,10,10,Otros,Asesinato,hombres
204,Stanislav Rogolev,Agent 000,Soviet,1980,1982,10,10,Violación,Asesinato,hombres
205,Oleg Kuznetsov,,Soviet,1991,1992,10,10,Violación,Asesinato,hombres
206,Robert Wagner,,Australia,1992,1999,10,10,Otros,Asesinato,desconocidos
207,Satish,,India,1995,1998,10,10,Otros,Asesinato,mujeres
208,Eduard Shemyakov,Resort Maniac,Russia,1996,1998,10,10,Violación,Asesinato,hombres
209,Ali Kaya,The Baby Faced Killer,Turkey,1997,present,10,10,Otros,Asesinato,desconocidos
210,Chen Yongfeng,The Butcher,China,2003,Unknown,10,10,Otros,Asesinato,personas_vulnerables
211,Zhou Kehua,,China,2004,2012,10,10,Otros,Disparo,hombres
212,Kang Ho-sun,,South,2006,2008,10,10,Otros,Asesinato,mujeres
213,Masten Wanjala,bloodthirsty vampire,Kenya,2015,2021,10,10,Otros,Asesinato,menores
214,Louis van Schoor,,South,1986,1989,9,100,Otros,Asesinato,personas_vulnerables
215,Peter Kürten,The Vampire of Düsseldorf,German,1913,1930,9,79,Otros,Asesinato,desconocidos
216,Roger Dale Stafford,,United,1974,1978,9,34,Otros,Asesinato,personas_vulnerables
217,Norman Afzal Simons,Station Strangler,South,1986,1994,9,22,Otros,Estrangulamiento,menores
218,Francis Heaulme,Criminal Backpacker,France,1984,1992,9,20,Otros,Asesinato,personas_vulnerables
219,Joel Rifkin,The Drifter,United,1989,1993,9,17,Otros,Asesinato,hombres
220,Dagmar Overbye,,Denmark,1913,1920,9,15,Otros,Estrangulamiento,menores
221,Kenneth McDuff,The Broomstick Killer,United,1966,1992,9,14+,Otros,Asesinato,desconocidos
222,Robert Joseph Silveria Jr.,The Boxcar Killer,United,1981,1996,9,14+,Paliza,Asesinato,desconocidos
223,Dr. No,,United,1981,1990,9,12,Otros,Asesinato,prostitutas
224,Richard Biegenwald,The Thrill Killer,United,1958,1983,9,11+,Otros,Asesinato,personas_vulnerables
226,Alexander Bychkov,,Russia,2009,2012,9,11,Otros,Asesinato,hombres
227,Maryvale serial shooter,,United,2015,2016,9,11,Otros,Disparo,personas_vulnerables
228,Edgecombe County Serial Killer,,United,2000s,Unknown,9,10,Otros,Asesinato,hombres
229,Lloyd Gomez,The Phantom Hobo Killer,United,1950,1951,9,9,Otros,Asesinato,hombres
230,Timothy Krajcir,,United,2000s,Unknown,9,9,Otros,Asesinato,hombres
231,Keith Hunter Jesperson,Happy Face Killer,United,1990,1995,8,160,Otros,Asesinato,hombres
232,Rodney Alcala,Dating Game Killer,United,1971,1979,8,130+,Otros,Asesinato,desconocidos
233,Diego Alexánder Ruiz Restrepo,Psycopath of Meiggs,Chile,2018,2020,8,28,Otros,Asesinato,personas_vulnerables
234,Kiyotaka Katsuta,,Japan,1982,1983,8,22,Otros,Estrangulamiento,hombres
235,Joseph Paul Franklin,,United,1977,1980,8,20+,Otros,Disparo,desconocidos
236,Pierre Chanal,,France,1980,1988,8,17,Otros,Asesinato,hombres
237,Christopher Wilder,,United,1984,Unknown,8,13+,Otros,Asesinato,hombres
238,Axeman of New Orleans,,United,1918,1919,8,12+,Otros,Asesinato,personas_vulnerables
239,Vladimir Retunsky,Povorinsky Maniac,Russia,1990,1996,8,12,Violación,Asesinato,hombres
240,Gilbert Paul Jordan,Boozing Barber,Canada,1965,1987,8,10,Otros,Veneno,hombres
241,Yoshio Kodaira,,Republic,1932,1946,8,8+,Violación,Asesinato,hombres
242,John Christie,,United,1943,1953,8,8+,Otros,Estrangulamiento,personas_vulnerables
243,Eric Edgar Cooke,Night Caller,Australia,1958,1963,8,8+,Otros,Asesinato,personas_vulnerables
244,Forest City Killer,,Canada,1969-1970,Unknown,8,8+,Otros,Asesinato,hombres
245,Elizabeth Wettlaufer,,Canada,2007,2018,8,8,Otros,Asesinato,personas_vulnerables
246,Bruce McArthur,,Canada,2010,2017,8,8,Otros,Asesinato,hombres
247,Manuel Delgado Villegas,The Arrope Trader,Spain,1964,1971,7,48,Otros,Estrangulamiento,hombres
248,Ershad Sikder,,Bangladesh,1991,1999,7,43+,Tortura,Asesinato,desconocidos
249,Ivan Milat,,Australia,1990s,Unknown,7,37,Otros,Asesinato,desconocidos
250,Reta Mays,,United,2017,2018,7,20,Otros,Asesinato,desconocidos
251,Michael Wayne McGray,,Canada,1985,1988,7,18+,Otros,Asesinato,hombres
252,Łódź Gay Murderer,,Poland,1988,1993,7,7,Otros,Asesinato,hombres
253,John Floyd Thomas Jr.,,United,1957,2009,7,15+,Violación,Asesinato,desconocidos
254,Kenneth Erskine,The Stockwell Strangler,United,1986,Unknown,7,11,Violación,Estrangulamiento,hombres
255,David Carpenter,The Trailside Killer,United,1979,1981,7,11,Otros,Asesinato,hombres
256,Vladimir Kuzmin,,Russia,1997,Unknown,7,11,Violación,Asesinato,menores
257,Tommy Recco,,France,1960,1980,7,10,Otros,Asesinato,hombres
258,Derrick Todd Lee,Baton Rouge or South Louisiana Serial Killer,United,2002,Unknown,7,10,Otros,Asesinato,hombres
259,Tomás Maldonado Cera,The Satanist,Colombia,2002,2018,7,10,Otros,Asesinato,personas_vulnerables
260,Peter Manuel,,United,1956-1958,Unknown,7,9,Otros,Asesinato,desconocidos
261,Paul Durousseau,,United,1997,2003,7,7+,Otros,Estrangulamiento,hombres
262,Todd Kohlhepp,,United,2003,2016,7,7+,Otros,Disparo,personas_vulnerables
263,Aileen Wuornos,,United,1989,1990,7,7,Otros,Disparo,personas_vulnerables
264,Hu Daoping,,China,2003,2005,7,7,Otros,Asesinato,personas_vulnerables
265,Nikos Metaxas,Mitsero murders.,Cyprus,2016,2018,7,7,Otros,Asesinato,menores
266,Tommy Lynn Sells,,United,1980,1999,6,70,Otros,Asesinato,menores
267,Robert Pickton,,Canada,1983,2002,6,49,Otros,Asesinato,hombres
268,Volker Eckert,,East,1974,2006,6,19+,Secuestro,Estrangulamiento,hombres
269,Lorenzo Gilyard,The Kansas City Strangler,United,1977,1993,6,13+,Otros,Estrangulamiento,prostitutas
270,Władysław Mazurkiewicz,The Gentleman Killer,Poland,1950s,Unknown,6,30,Otros,Asesinato,hombres
271,Gong Runbo,,China,2005,2006,6,20+,Otros,Asesinato,menores
272,The Doodler,,United,1974,1975,6,16,Otros,Apuñalamiento,hombres
273,Cristopher Chávez Cuellar,The Soulless,Colombia,1990s,2015,6,15+,Otros,Asesinato,hombres
274,András Pándy,Father Bluebeard,Belgium,1986,1990,6,14+,Otros,Asesinato,menores
275,John Wayne Glover,The Granny Killer,Australia,1989,1990,6,13,Otros,Asesinato,hombres
276,Alexander Sergeychik,,Belarus,2000,2006,6,12,Otros,Asesinato,personas_vulnerables
277,Adrián Arroyo Gutiérrez,The Southern Psychopath,Costa,2014,2015,6,11,Violación,Estrangulamiento,hombres
278,Joseph Naso,The Double Initial Killer,United,1977,1994,6,10,Otros,Estrangulamiento,hombres
279,Terry Peder Rasmussen,Chameleon Killer,United,1978,2002,6,6+,Otros,Asesinato,desconocidos
280,Juan Chavez,,United,1986,1990,6,6+,Otros,Asesinato,hombres
281,David Berkowitz,Son of Sam,United,1976,1977,6,6,Otros,Asesinato,hombres
282,Richard Chase,The Vampire of Sacramento,United,1977,1978,6,6,Canibalismo,Asesinato,hombres
283,Michael Terry,,United,1985,1986,6,6,Otros,Asesinato,hombres
286,Carl Panzram,,United,1915,1929,5,22,Otros,Asesinato,hombres
287,Steve Wright,Suffolk murders,United,2006,Unknown,5,22,Otros,Asesinato,prostitutas
288,Stephen Akinmurele,,United,1995,1998,5,15,Otros,Asesinato,hombres
289,Joe Metheny,,United,1976,1996,5,13,Otros,Asesinato,personas_vulnerables
290,Michel Peiry,Sadist of Romont,Switzerland,1981,1987,5,11,Otros,Asesinato,hombres
291,Hubert Pilčík,,Czechoslovakia,1948,1951,5,10+,Otros,Asesinato,hombres
292,Willem van Eijk,Het Beest van Harkstede,Netherlands,1971,2001,5,8,Otros,Asesinato,hombres
293,Thomas Dillon,,United,1989,1992,5,5+,Otros,Asesinato,hombres
294,Marc Dutroux,,Belgium,1995,1996,5,5+,Otros,Asesinato,menores
295,Sek Kim Wah,,Singapore,1983,Unknown,5,5,Otros,Estrangulamiento,personas_vulnerables
296,Jerome Dennis,,United,1991,1992,5,5,Otros,Asesinato,hombres
297,Belize Ripper,,Belize,1998,2000,5,5,Secuestro,Asesinato,mujeres
298,Alexander Spesivtsev,The Novokuznetsk Monster,Russia,1991,1996,4,82+,Canibalismo,Asesinato,mujeres
299,Charlie Brandt,,United,1971,2004,4,29,Otros,Asesinato,mujeres
300,Robert Black,,United,1981,1986,4,18+,Violación,Asesinato,menores
301,Max Gufler,,Austria,1946,1958,4,18,Otros,Estrangulamiento,hombres
302,Ernesto Picchioni,,Italy,1949 and earlier,Unknown,4,16,Otros,Asesinato,personas_vulnerables
303,Baekuni,,Indonesia,1993,2010,4,14,Violación,Asesinato,menores
304,Igor Chernat,Evil Spirit of Kaukjarvi,Soviet,1985,1986,4,13,Violación,Asesinato,hombres
305,Ricky Lee Green,,United,1985,1986,4,12,Otros,Asesinato,personas_vulnerables
306,Robert Hicks Murray,,United,1912 and earlier,Unknown,4,11+,Otros,Asesinato,menores
307,William Dean Christensen,The American Jack the Ripper,United,1982,1983,4,10+,Otros,Asesinato,hombres
308,Angus Sinclair,,United,"1961, 1967",1982,4,10,Otros,Asesinato,hombres
309,John Cooper,,United,1985,1998,4,9,Otros,Disparo,hombres
310,Oba Chandler,,United,1989,1990,4,4+,Otros,Asesinato,personas_vulnerables
311,Dallen Bounds,,United,1999,Unknown,4,4+,Otros,Asesinato,hombres
312,Robert Mone,,United,1967,1976,4,4,Otros,Disparo,hombres
313,Jerry Brudos,,United,1968,1969,4,4,Otros,Asesinato,hombres
314,Robert Maudsley,,United,1974,1978,4,4,Otros,Asesinato,menores
315,Aalt Mondria,,Netherlands,1978,1997,4,4,Otros,Asesinato,hombres
316,Tsutomu Miyazaki,,Japan,1988,1989,4,4,Otros,Asesinato,mujeres
317,Cody Legebokoff,,Canada,2009,2010,4,4,Otros,Asesinato,hombres
318,Stephen Port,The Grindr Killer,United,2014,2015,4,4,Violación,Asesinato,homosexuales
319,Seminole Heights serial killer,,United,2017,Unknown,4,4,Otros,Disparo,personas_vulnerables
320,Albert Fish,,United,1924,1932,3,100+,Violación,Asesinato,menores
321,Robert Ben Rhoades,,United,1989,1990,3,50+,Otros,Asesinato,hombres
322,Peter Tobin,,United,1991,2006,3,48,Violación,Asesinato,hombres
323,Pedro Padilla Flores,,Mexico,1986,Unknown,3,30,Otros,Asesinato,hombres
324,Stephen Morin,,United,1981,Unknown,3,30,Otros,Asesinato,hombres
325,Dorothea Puente,,United,1982,1988,3,25,Otros,Veneno,hombres
326,Billy Glaze,Butcher Knife Billy,United,1986,1987,3,20+,Violación,Asesinato,prostitutas
327,Sidney Cooke,Britain's most notorious paedophile,United,c. 1960,1989,3,20,Otros,Asesinato,menores
328,Bertha Gifford,,United,1909,1928,3,17,Otros,Veneno,menores
329,Bernhard Prigan,,Allied-occupied,1947,1952,3,16,Otros,Asesinato,hombres
330,Patrick Mackay[a],,United,1973,1975,3,13,Otros,Asesinato,personas_vulnerables
331,Koos Hertogs,,Netherlands,1979,1980,3,12,Violación,Asesinato,mujeres
332,Michael Gargiulo,The Hollywood Ripper,United,1993,2008,3,10,Otros,Apuñalamiento,hombres
333,Chisako Kakehi,,Japan,2007,2013,3,10,Otros,Veneno,hombres
334,Heriberto Seda,,United,1990,1996,3,8+,Otros,Asesinato,personas_vulnerables
335,Anthony Hardy,Camden Ripper,United,2002,Unknown,3,8,Otros,Asesinato,prostitutas
